Date,Monthly_Avg_Close,Volatility,Repo
2012-02-01,5457.620849609375,0.06676676799492787,8.5
2012-03-01,5295.583333333333,0.06237764832363479,8.5
2012-04-01,5256.8737150493425,0.04033545780235041,8.0
2012-05-01,4969.385695684524,0.0452599550982309,8.0
2012-06-01,5074.214239211309,0.05206168938872877,8.0
2012-07-01,5222.011385830966,0.04057824650368425,8.0
2012-08-01,5329.477514648437,0.03012866447986502,8.0
2012-09-01,5491.926320929277,0.044806736490227546,8.0
2012-10-01,5689.847485351563,0.033354511170710685,8.0
2012-11-01,5680.289473684211,0.034840991518944,8.0
2012-12-01,5890.955004882812,0.023673586910144574,8.0
2013-01-01,6026.402232776989,0.02774440174446649,7.75
2013-02-01,5893.5875,0.03184597333822374,7.75
2013-03-01,5782.260587993421,0.038696553534436455,7.5
2013-04-01,5699.760034179688,0.04718754985160117,7.5
2013-05-01,6062.579478870739,0.05325521343581612,7.25
2013-06-01,5782.0775146484375,0.05777548573737168,7.25
2013-07-01,5909.243440047554,0.04707090555898119,7.25
2013-08-01,5510.437475585937,0.08060216664740455,7.25
2013-09-01,5797.475048828125,0.08709144205323037,7.5
2013-10-01,6083.873837425595,0.04167628108979811,7.75
2013-11-01,6118.70263671875,0.05158982523495989,7.75
2013-12-01,6246.869024367559,0.038476232591679406,7.75
2014-01-01,6219.595481178977,0.03777458203078701,8.0
2014-02-01,6100.158365885417,0.03451279828411961,8.0
2014-03-01,6508.635009765625,0.03193652505111247,8.0
2014-04-01,6754.736056857639,0.03228717747506699,8.0
2014-05-01,7083.157087053572,0.04513839865303813,8.0
2014-06-01,7542.842912946428,0.040867511630919236,8.0
2014-07-01,7676.761385830966,0.03838234192329294,8.0
2014-08-01,7787.352590460527,0.034608283250528594,8.0
2014-09-01,8053.525013316761,0.0368936011809097,8.0
2014-10-01,7949.500057444853,0.04380734475564282,8.0
2014-11-01,8417.058376736111,0.02075705563674586,8.0
2014-12-01,8309.86825284091,0.03821743993757019,8.0
2015-01-01,8529.45751953125,0.054550060565019716,7.75
2015-02-01,8742.465666118422,0.037605244722354395,7.75
2015-03-01,8664.062034970239,0.04533531988378144,7.5
2015-04-01,8511.441623263889,0.04253661982005053,7.5
2015-05-01,8300.805029296875,0.05719295482534044,7.5
2015-06-01,8195.606800426136,0.043928326086342444,7.25
2015-07-01,8479.51515794837,0.03999470410524925,7.25
2015-08-01,8309.923804873511,0.07374413540962924,7.25
2015-09-01,7814.889990234375,0.05885122612530518,6.75
2015-10-01,8172.32255859375,0.03220404118253662,6.75
2015-11-01,7891.116672092014,0.03457806738709303,6.75
2015-12-01,7802.638649680398,0.03609225904948746,6.75
2016-01-01,7513.394659745066,0.053469673767391326,6.75
2016-02-01,7199.86669921875,0.061311362320901626,6.75
2016-03-01,7550.094995117188,0.04987616676702672,6.75
2016-04-01,7786.516655815973,0.04566033663120425,6.5
2016-05-01,7871.856778231534,0.04155133541133245,6.5
2016-06-01,8191.19775390625,0.035994370930321554,6.5
2016-07-01,8505.612548828125,0.026861247227584636,6.5
2016-08-01,8638.911876860118,0.030949572065008847,6.5
2016-09-01,8783.32509765625,0.03789543665472877,6.5
2016-10-01,8669.027777777777,0.03530248085020547,6.25
2016-11-01,8250.749976748511,0.053460979487908435,6.25
2016-12-01,8114.027254971591,0.0375319315398087,6.25
2017-01-01,8386.204659598214,0.028110018637275937,6.25
2017-02-01,8813.339483963815,0.02493588226279195,6.25
2017-03-01,9047.056773792614,0.02680957899141406,6.25
2017-04-01,9214.572265625,0.02384468591028527,6.25
2017-05-01,9436.98641690341,0.026516206796022478,6.25
2017-06-01,9606.954799107143,0.01584634611849371,6.25
2017-07-01,9850.118954613095,0.02098451939877773,6.25
2017-08-01,9901.183407738095,0.03318569569839016,6.0
2017-09-01,9977.916666666666,0.029160320282783925,6.0
2017-10-01,10138.677490234375,0.02214874358394383,6.0
2017-11-01,10324.754527698864,0.026806178067475497,6.0
2017-12-01,10322.262548828125,0.02848400058323201,6.0
2018-01-01,10787.135788690477,0.022878388034163605,6.0
2018-02-01,10533.105263157895,0.041163790398094556,6.0
2018-03-01,10232.618472450658,0.04134355686601981,6.0
2018-04-01,10472.933268229166,0.025955148201277062,6.0
2018-05-01,10664.447709517046,0.029406820107432244,6.0
2018-06-01,10742.973818824405,0.02775218123303996,6.25
2018-07-01,10991.15682705966,0.0211437993047737,6.25
2018-08-01,11498.440476190477,0.024914297807764066,6.5
2018-09-01,11297.058322482639,0.038250539288609185,6.5
2018-10-01,10383.809477306548,0.06739677664181017,6.5
2018-11-01,10621.792529296876,0.03282620555555427,6.5
2018-12-01,10778.442529296875,0.044486242610335514,6.5
